Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
10/08/2016 00:00,CENTRAL EAST - VC,23330,2103.6,2445,-9999
10/08/2016 00:00,DYSINGER EAST,23326,556.81,3150,-9999
10/08/2016 00:00,MOSES SOUTH,23319,1646.04,2850,-1600
10/08/2016 00:00,SCH - HQ - NY,23324,1257,1390,-500
10/08/2016 00:00,SCH - HQ_CEDARS,325274,0,190,0
10/08/2016 00:00,SCH - HQ_IMPORT_EXPORT,325376,953,1310,-9999
10/08/2016 00:00,SCH - NE - NY,23318,-753.52,1400,-1600
10/08/2016 00:00,SCH - NPX_1385,325277,85,200,-200
10/08/2016 00:00,SCH - NPX_CSC,325154,50,330,-330
10/08/2016 00:00,SCH - OH - NY,23317,879.63,1300,-1150
10/08/2016 00:00,SCH - PJ - NY,23316,-74.28,1700,-1300
10/08/2016 00:00,SCH - PJM_HTP,325905,0,0,0
10/08/2016 00:00,SCH - PJM_NEPTUNE,325305,577,660,-660
10/08/2016 00:00,SCH - PJM_VFT,325658,12,315,-315
10/08/2016 00:00,SPR/DUN-SOUTH,23320,1701.18,4350,-9999
10/08/2016 00:00,TOTAL EAST,23314,3348.57,6500,-9999
10/08/2016 00:00,UPNY CONED,23315,691.44,4850,-9999
10/08/2016 00:00,WEST CENTRAL,23312,240.59,9999,-9999
10/08/2016 00:05,CENTRAL EAST - VC,23330,2243.86,2445,-9999
10/08/2016 00:05,DYSINGER EAST,23326,667.77,3150,-9999
10/08/2016 00:05,MOSES SOUTH,23319,1656.55,2850,-1600
10/08/2016 00:05,SCH - HQ - NY,23324,1252,1390,-500
10/08/2016 00:05,SCH - HQ_CEDARS,325274,0,190,0
10/08/2016 00:05,SCH - HQ_IMPORT_EXPORT,325376,948,1310,-9999
10/08/2016 00:05,SCH - NE - NY,23318,-809.33,1400,-1600
10/08/2016 00:05,SCH - NPX_1385,325277,121,200,-200
10/08/2016 00:05,SCH - NPX_CSC,325154,0,330,-330
10/08/2016 00:05,SCH - OH - NY,23317,1003.39,1300,-1150
10/08/2016 00:05,SCH - PJ - NY,23316,-62.95,1700,-1300
10/08/2016 00:05,SCH - PJM_HTP,325905,0,0,0
10/08/2016 00:05,SCH - PJM_NEPTUNE,325305,495,660,-660
10/08/2016 00:05,SCH - PJM_VFT,325658,0,315,-315
10/08/2016 00:05,SPR/DUN-SOUTH,23320,1725.11,4350,-9999
10/08/2016 00:05,TOTAL EAST,23314,3513.26,6500,-9999
10/08/2016 00:05,UPNY CONED,23315,809.99,4850,-9999
10/08/2016 00:05,WEST CENTRAL,23312,357.48,9999,-9999
10/08/2016 00:10,CENTRAL EAST - VC,23330,2216.29,2445,-9999
10/08/2016 00:10,DYSINGER EAST,23326,618.62,3150,-9999
10/08/2016 00:10,MOSES SOUTH,23319,1701.55,2850,-1600
10/08/2016 00:10,SCH - HQ - NY,23324,1252,1390,-500
10/08/2016 00:10,SCH - HQ_CEDARS,325274,0,190,0
10/08/2016 00:10,SCH - HQ_IMPORT_EXPORT,325376,948,1310,-9999
10/08/2016 00:10,SCH - NE - NY,23318,-809.33,1400,-1600
10/08/2016 00:10,SCH - NPX_1385,325277,121,200,-200
10/08/2016 00:10,SCH - NPX_CSC,325154,0,330,-330
10/08/2016 00:10,SCH - OH - NY,23317,1003.27,1300,-1150
10/08/2016 00:10,SCH - PJ - NY,23316,-61.42,1700,-1300
10/08/2016 00:10,SCH - PJM_HTP,325905,0,0,0
10/08/2016 00:10,SCH - PJM_NEPTUNE,325305,495,660,-660
10/08/2016 00:10,SCH - PJM_VFT,325658,0,315,-315
10/08/2016 00:10,SPR/DUN-SOUTH,23320,1695.9,4350,-9999
10/08/2016 00:10,TOTAL EAST,23314,3535.56,6500,-9999
10/08/2016 00:10,UPNY CONED,23315,769.98,4850,-9999
10/08/2016 00:10,WEST CENTRAL,23312,315.08,9999,-9999
10/08/2016 00:15,CENTRAL EAST - VC,23330,2221.56,2445,-9999
10/08/2016 00:15,DYSINGER EAST,23326,600.54,3150,-9999
10/08/2016 00:15,MOSES SOUTH,23319,1736.59,2850,-1600
